bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
4;4;4;4;2;27;20;45;81;72
3;3;4;4;2;24;15;22;50;92
4;4;4;4;2;48;40;29;72;64
1;1;4;4;2;11;2;17;52;63
4;3;4;4;2;19;11;35;51;59
4;4;4;4;3;24;15;30;75;73
1;4;4;4;3;26;22;24;61;65
2;2;4;4;3;22;12;16;73;63
4;4;4;4;3;37;34;4;47;80
4;4;4;4;3;9;27;7;31;30
3;4;4;4;3;7;30;7;23;47
3;3;4;4;2;20;1;26;64;79
3;2;4;4;2;18;15;25;60;40
4;3;4;4;2;27;28;3;86;71
1;1;1;1;1;12;29;21;62;29
4;2;4;4;3;18;4;5;23;72
4;2;4;4;2;30;50;22;75;75
1;4;4;4;3;13;3;15;56;59
4;3;4;4;2;30;32;1;49;47
1;4;4;4;3;19;27;6;34;73
4;4;4;4;2;18;57;41;71;79
1;1;4;4;1;42;2;25;20;45
4;4;4;4;3;47;12;30;71;88
4;4;4;4;3;18;13;9;65;70
1;1;4;3;1;21;62;35;48;95
1;2;4;2;2;31;2;18;47;53
3;1;4;1;1;20;49;12;49;53
3;1;4;1;1;24;31;15;39;71
1;1;1;1;1;21;51;11;88;43
2;1;4;1;1;31;49;15;80;72
1;1;1;1;1;17;16;11;45;68
1;1;4;1;2;11;20;15;34;89
1;2;4;1;2;36;31;45;73;74
3;1;4;1;2;22;15;21;34;58
4;3;4;4;3;10;30;24;77;81
3;4;4;3;3;3;42;26;50;66
4;4;4;2;2;31;20;26;81;83
2;3;4;2;2;13;40;27;90;63
2;3;4;2;1;42;27;31;49;60
1;2;1;1;1;20;16;12;79;64
2;1;4;2;2;5;22;33;81;67
1;1;4;2;3;4;35;14;83;89
4;4;4;4;2;26;46;18;69;99
4;4;4;4;3;10;56;29;53;72
1;4;4;4;2;61;45;26;59;42
4;3;4;4;3;8;41;19;65;46
4;4;4;4;3;28;23;19;55;59
1;1;4;2;1;18;24;21;55;103
4;3;4;4;3;15;33;11;48;53
1;4;4;2;3;16;17;1;8;74
1;2;4;3;2;12;27;20;65;105
4;3;4;3;3;10;43;16;49;62
4;4;4;4;3;12;65;8;60;66
3;3;4;1;3;6;32;3;99;79
4;4;4;4;3;46;27;21;65;64
4;4;4;4;3;56;35;22;72;71
3;2;4;2;2;33;43;32;50;61
4;4;4;4;3;27;26;14;81;46
3;4;4;4;3;53;34;16;49;59
1;1;1;4;2;12;31;36;75;44
4;4;4;4;3;19;32;11;80;75
4;4;1;1;1;47;30;31;61;93
3;1;4;1;2;63;23;7;75;109
1;1;4;1;1;5;22;38;71;85
